#E_gam (GeV), z=0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.5,6,6.5,7,7.5,8,8.5,9
3.162e+00	3.597e-07	7.286e-07	1.107e-06	1.493e-06	1.889e-06	2.293e-06	2.707e-06	3.131e-06	3.563e-06	4.005e-06	4.455e-06	6.354e-06	8.941e-06	1.177e-05	1.485e-05	1.819e-05	2.179e-05	2.605e-05	3.061e-05	3.550e-05	4.071e-05	4.626e-05	5.217e-05	5.846e-05	6.514e-05	7.225e-05	7.980e-05	8.783e-05	9.636e-05	1.396e-04	1.933e-04	2.567e-04	3.276e-04	4.028e-04	4.789e-04	5.524e-04	6.207e-04	6.821e-04	7.359e-04	7.819e-04	8.207e-04	8.530e-04	8.795e-04	9.013e-04	9.189e-04	9.332e-04	9.447e-04	9.536e-04	9.602e-04	9.694e-04	9.753e-04	9.837e-04	9.983e-04	1.020e-03	1.045e-03	1.070e-03	1.089e-03
3.548e+00	3.833e-07	7.760e-07	1.178e-06	1.590e-06	2.010e-06	2.440e-06	2.879e-06	3.329e-06	3.788e-06	4.256e-06	4.733e-06	6.744e-06	9.481e-06	1.247e-05	1.573e-05	1.926e-05	2.307e-05	2.759e-05	3.245e-05	3.768e-05	4.330e-05	4.933e-05	5.583e-05	6.282e-05	7.035e-05	7.847e-05	8.723e-05	9.671e-05	1.069e-04	1.610e-04	2.317e-04	3.173e-04	4.138e-04	5.160e-04	6.183e-04	7.161e-04	8.060e-04	8.860e-04	9.556e-04	1.015e-03	1.064e-03	1.105e-03	1.139e-03	1.166e-03	1.188e-03	1.206e-03	1.221e-03	1.233e-03	1.242e-03	1.264e-03	1.293e-03	1.336e-03	1.394e-03	1.458e-03	1.521e-03	1.574e-03	1.609e-03
3.981e+00	4.063e-07	8.223e-07	1.248e-06	1.683e-06	2.128e-06	2.582e-06	3.047e-06	3.521e-06	4.006e-06	4.500e-06	5.003e-06	7.123e-06	1.000e-05	1.315e-05	1.659e-05	2.031e-05	2.436e-05	2.919e-05	3.444e-05	4.013e-05	4.634e-05	5.309e-05	6.048e-05	6.857e-05	7.745e-05	8.722e-05	9.796e-05	1.098e-04	1.228e-04	1.937e-04	2.886e-04	4.041e-04	5.334e-04	6.686e-04	8.026e-04	9.294e-04	1.045e-03	1.147e-03	1.236e-03	1.310e-03	1.373e-03	1.424e-03	1.466e-03	1.501e-03	1.529e-03	1.554e-03	1.578e-03	1.603e-03	1.631e-03	1.725e-03	1.844e-03	1.983e-03	2.131e-03	2.274e-03	2.397e-03	2.490e-03	2.548e-03
4.467e+00	4.284e-07	8.669e-07	1.315e-06	1.774e-06	2.241e-06	2.719e-06	3.207e-06	3.706e-06	4.215e-06	4.734e-06	5.263e-06	7.488e-06	1.052e-05	1.384e-05	1.747e-05	2.145e-05	2.581e-05	3.109e-05	3.690e-05	4.333e-05	5.046e-05	5.838e-05	6.724e-05	7.715e-05	8.823e-05	1.007e-04	1.145e-04	1.300e-04	1.471e-04	2.420e-04	3.694e-04	5.228e-04	6.921e-04	8.669e-04	1.038e-03	1.200e-03	1.346e-03	1.474e-03	1.585e-03	1.679e-03	1.757e-03	1.821e-03	1.877e-03	1.927e-03	1.980e-03	2.041e-03	2.117e-03	2.208e-03	2.315e-03	2.625e-03	2.951e-03	3.270e-03	3.570e-03	3.829e-03	4.035e-03	4.180e-03	4.266e-03
5.012e+00	4.498e-07	9.099e-07	1.381e-06	1.861e-06	2.352e-06	2.853e-06	3.365e-06	3.888e-06	4.422e-06	4.967e-06	5.522e-06	7.863e-06	1.106e-05	1.460e-05	1.851e-05	2.286e-05	2.771e-05	3.370e-05	4.045e-05	4.809e-05	5.676e-05	6.660e-05	7.781e-05	9.057e-05	1.050e-04	1.214e-04	1.399e-04	1.605e-04	1.835e-04	3.107e-04	4.792e-04	6.788e-04	8.959e-04	1.118e-03	1.333e-03	1.535e-03	1.718e-03	1.878e-03	2.016e-03	2.134e-03	2.238e-03	2.337e-03	2.443e-03	2.572e-03	2.734e-03	2.937e-03	3.179e-03	3.453e-03	3.747e-03	4.498e-03	5.181e-03	5.782e-03	6.297e-03	6.710e-03	7.020e-03	7.229e-03	7.347e-03
5.623e+00	4.721e-07	9.552e-07	1.449e-06	1.954e-06	2.470e-06	2.997e-06	3.537e-06	4.088e-06	4.652e-06	5.228e-06	5.816e-06	8.305e-06	1.174e-05	1.560e-05	1.996e-05	2.491e-05	3.058e-05	3.777e-05	4.606e-05	5.564e-05	6.673e-05	7.953e-05	9.428e-05	1.112e-04	1.305e-04	1.525e-04	1.772e-04	2.049e-04	2.356e-04	4.038e-04	6.226e-04	8.776e-04	1.151e-03	1.428e-03	1.696e-03	1.946e-03	2.173e-03	2.374e-03	2.558e-03	2.739e-03	2.938e-03	3.176e-03	3.475e-03	3.853e-03	4.316e-03	4.854e-03	5.449e-03	6.074e-03	6.702e-03	8.169e-03	9.381e-03	1.037e-02	1.116e-02	1.176e-02	1.219e-02	1.248e-02	1.263e-02
6.310e+00	4.991e-07	1.011e-06	1.535e-06	2.071e-06	2.619e-06	3.181e-06	3.757e-06	4.348e-06	4.953e-06	5.572e-06	6.208e-06	8.921e-06	1.274e-05	1.713e-05	2.223e-05	2.818e-05	3.519e-05	4.427e-05	5.496e-05	6.749e-05	8.217e-05	9.922e-05	1.190e-04	1.417e-04	1.675e-04	1.968e-04	2.297e-04	2.664e-04	3.069e-04	5.257e-04	8.049e-04	1.125e-03	1.466e-03	1.807e-03	2.138e-03	2.449e-03	2.745e-03	3.045e-03	3.380e-03	3.782e-03	4.282e-03	4.909e-03	5.680e-03	6.598e-03	7.645e-03	8.785e-03	9.968e-03	1.115e-02	1.228e-02	1.477e-02	1.668e-02	1.815e-02	1.927e-02	2.009e-02	2.066e-02	2.102e-02	2.122e-02
7.079e+00	5.378e-07	1.090e-06	1.658e-06	2.241e-06	2.838e-06	3.454e-06	4.087e-06	4.740e-06	5.411e-06	6.102e-06	6.814e-06	9.895e-06	1.434e-05	1.961e-05	2.590e-05	3.344e-05	4.251e-05	5.444e-05	6.863e-05	8.538e-05	1.051e-04	1.279e-04	1.543e-04	1.846e-04	2.189e-04	2.576e-04	3.007e-04	3.485e-04	4.010e-04	6.808e-04	1.032e-03	1.430e-03	1.848e-03	2.269e-03	2.689e-03	3.126e-03	3.621e-03	4.225e-03	4.989e-03	5.949e-03	7.129e-03	8.544e-03	1.019e-02	1.203e-02	1.401e-02	1.607e-02	1.810e-02	2.006e-02	2.187e-02	2.567e-02	2.844e-02	3.048e-02	3.198e-02	3.305e-02	3.377e-02	3.422e-02	3.445e-02
7.943e+00	5.989e-07	1.217e-06	1.855e-06	2.513e-06	3.191e-06	3.893e-06	4.620e-06	5.374e-06	6.154e-06	6.962e-06	7.799e-06	1.148e-05	1.694e-05	2.359e-05	3.171e-05	4.163e-05	5.369e-05	6.967e-05	8.872e-05	1.112e-04	1.375e-04	1.680e-04	2.029e-04	2.427e-04	2.876e-04	3.378e-04	3.934e-04	4.547e-04	5.217e-04	8.742e-04	1.310e-03	1.800e-03	2.321e-03	2.874e-03	3.504e-03	4.291e-03	5.316e-03	6.646e-03	8.325e-03	1.036e-02	1.276e-02	1.548e-02	1.848e-02	2.169e-02	2.500e-02	2.829e-02	3.145e-02	3.439e-02	3.706e-02	4.244e-02	4.620e-02	4.888e-02	5.080e-02	5.213e-02	5.301e-02	5.355e-02	5.383e-02
8.913e+00	6.975e-07	1.421e-06	2.173e-06	2.953e-06	3.761e-06	4.603e-06	5.481e-06	6.397e-06	7.351e-06	8.343e-06	9.379e-06	1.400e-05	2.102e-05	2.974e-05	4.054e-05	5.383e-05	7.005e-05	9.153e-05	1.171e-04	1.470e-04	1.818e-04	2.219e-04	2.675e-04	3.190e-04	3.767e-04	4.409e-04	5.116e-04	5.891e-04	6.733e-04	1.112e-03	1.652e-03	2.272e-03	2.987e-03	3.863e-03	5.032e-03	6.632e-03	8.758e-03	1.146e-02	1.473e-02	1.852e-02	2.277e-02	2.740e-02	3.229e-02	3.733e-02	4.234e-02	4.718e-02	5.171e-02	5.583e-02	5.949e-02	6.669e-02	7.156e-02	7.494e-02	7.730e-02	7.891e-02	7.996e-02	8.059e-02	8.092e-02
