#E_gam (GeV), z=0.1, 0.3, 0.5, 0.75, 1.0, 1.5, 2.0, 3.0, 4.0, 4.99
5.62e+01	4.36e-03	2.32e-02	6.21e-02	1.49e-01	2.82e-01	6.76e-01	1.17e+00	2.03e+00	2.60e+00	2.64e+00 
6.31e+01	6.32e-03	3.25e-02	8.47e-02	1.98e-01	3.68e-01	8.58e-01	1.45e+00	2.48e+00	3.16e+00	3.18e+00 
7.08e+01	8.91e-03	4.46e-02	1.14e-01	2.60e-01	4.75e-01	1.08e+00	1.80e+00	3.02e+00	3.81e+00	3.82e+00 
7.94e+01	1.23e-02	6.02e-02	1.51e-01	3.38e-01	6.09e-01	1.35e+00	2.22e+00	3.64e+00	4.58e+00	4.56e+00 
8.91e+01	1.67e-02	8.04e-02	1.98e-01	4.36e-01	7.75e-01	1.69e+00	2.72e+00	4.38e+00	5.45e+00	5.42e+00 
1.00e+02	2.25e-02	1.06e-01	2.59e-01	5.60e-01	9.80e-01	2.08e+00	3.31e+00	5.23e+00	6.46e+00	6.39e+00 
1.12e+02	3.00e-02	1.40e-01	3.35e-01	7.13e-01	1.23e+00	2.56e+00	4.00e+00	6.20e+00	7.59e+00	7.49e+00 
1.26e+02	3.97e-02	1.83e-01	4.31e-01	9.03e-01	1.54e+00	3.12e+00	4.80e+00	7.29e+00	8.84e+00	8.71e+00 
1.41e+02	5.23e-02	2.37e-01	5.51e-01	1.13e+00	1.90e+00	3.78e+00	5.71e+00	8.51e+00	1.02e+01	1.00e+01 
1.59e+02	6.84e-02	3.05e-01	6.99e-01	1.41e+00	2.34e+00	4.54e+00	6.74e+00	9.85e+00	1.17e+01	1.15e+01 
1.78e+02	8.90e-02	3.90e-01	8.79e-01	1.75e+00	2.84e+00	5.39e+00	7.89e+00	1.13e+01	1.33e+01	1.30e+01 
2.00e+02	1.15e-01	4.94e-01	1.10e+00	2.14e+00	3.42e+00	6.35e+00	9.13e+00	1.28e+01	1.50e+01	1.47e+01 
2.24e+02	1.46e-01	6.19e-01	1.35e+00	2.59e+00	4.08e+00	7.39e+00	1.05e+01	1.44e+01	1.67e+01	1.64e+01 
2.51e+02	1.85e-01	7.67e-01	1.65e+00	3.09e+00	4.81e+00	8.52e+00	1.19e+01	1.61e+01	1.85e+01	1.81e+01 
2.82e+02	2.31e-01	9.40e-01	1.98e+00	3.66e+00	5.61e+00	9.72e+00	1.33e+01	1.78e+01	2.04e+01	1.99e+01 
3.16e+02	2.84e-01	1.14e+00	2.36e+00	4.28e+00	6.47e+00	1.10e+01	1.48e+01	1.95e+01	2.22e+01	2.18e+01 
3.55e+02	3.45e-01	1.36e+00	2.76e+00	4.94e+00	7.37e+00	1.22e+01	1.63e+01	2.13e+01	2.41e+01	2.37e+01 
3.98e+02	4.14e-01	1.60e+00	3.21e+00	5.63e+00	8.29e+00	1.35e+01	1.78e+01	2.30e+01	2.61e+01	2.57e+01 
4.47e+02	4.89e-01	1.85e+00	3.67e+00	6.35e+00	9.23e+00	1.48e+01	1.93e+01	2.48e+01	2.81e+01	2.78e+01 
5.01e+02	5.70e-01	2.13e+00	4.15e+00	7.08e+00	1.02e+01	1.60e+01	2.08e+01	2.66e+01	3.02e+01	2.99e+01 
5.62e+02	6.56e-01	2.41e+00	4.64e+00	7.80e+00	1.11e+01	1.72e+01	2.23e+01	2.86e+01	3.24e+01	3.23e+01 
6.31e+02	7.45e-01	2.70e+00	5.12e+00	8.51e+00	1.20e+01	1.84e+01	2.38e+01	3.07e+01	3.48e+01	3.48e+01 
7.08e+02	8.36e-01	2.98e+00	5.60e+00	9.19e+00	1.29e+01	1.96e+01	2.53e+01	3.30e+01	3.74e+01	3.75e+01 
7.94e+02	9.26e-01	3.26e+00	6.06e+00	9.85e+00	1.37e+01	2.09e+01	2.70e+01	3.55e+01	4.03e+01	4.06e+01 
8.91e+02	1.02e+00	3.53e+00	6.50e+00	1.05e+01	1.45e+01	2.22e+01	2.89e+01	3.83e+01	4.35e+01	4.39e+01 
1.00e+03	1.10e+00	3.79e+00	6.92e+00	1.11e+01	1.54e+01	2.36e+01	3.10e+01	4.15e+01	4.70e+01	4.76e+01  
